category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Dopaminergic agonists,Benvenutti_2021,-0.649402122813615,-1.0422959408018948,-0.25650830482533504,0.001197124866586934,0.027290439402109824,0.02729043843304421,12,5
Dopaminergic agonists,Canzian_2024,-0.49005056765751925,-0.8945616793567173,-0.08553945595832124,0.017576286917633636,0.03413636373806165,0.034136363232148664,11,5
Dopaminergic agonists,Yin_2023,-0.586309836433662,-1.0209539929089284,-0.15166567995839564,0.008196216979082948,0.05329052844238549,0.05329053345836895,12,5
Dopaminergic agonists,Freddo_2021,-0.4638073253523724,-0.7962316885225988,-0.13138296218214596,0.006245726830537962,0.006789580421434494,0.006789580559531334,14,5
Dopaminergic agonists,Frizzo_2020,-0.5252337597128615,-0.960842110507826,-0.08962540891789694,0.01811681174052253,0.051057664469637484,0.05105766359896765,12,5
Dopaminergic agonists,Nardi_2024,-0.663425479731717,-0.9974734777137994,-0.32937748174963455,9.920644013862482e-5,0.005688601604440622,0.005688601607899064,14,5
