category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Pro-dopaminergic agents,Benvenutti_2021,-0.6494021228169052,-1.042295940597978,-0.25650830503583244,0.0011971248593459658,0.027290439049518205,0.027290438577872195,12,5
Pro-dopaminergic agents,Canzian_2024,-0.4900505676337768,-0.8945616791012678,-0.08553945616628572,0.017576286858358412,0.034136365856214344,0.034136360874851834,11,5
Pro-dopaminergic agents,Yin_2023,-0.5863098364464142,-1.0209539931550489,-0.1516656797377795,0.008196217012063026,0.05329053084857759,0.05329053131204196,12,5
Pro-dopaminergic agents,Freddo_2021,-0.46380732534210817,-0.7962316885948648,-0.13138296208935152,0.0062457268445663666,0.00678958039383482,0.0067895806573439734,14,5
Pro-dopaminergic agents,Frizzo_2020,-0.5252337597202849,-0.9608421106224592,-0.08962540881811049,0.018116811767324725,0.05105766413071752,0.051057664057593,12,5
Pro-dopaminergic agents,Nardi_2024,-0.6634254797397706,-0.9974734777613343,-0.3293774817182069,9.920644030748436e-5,0.005688601608308781,0.005688601637295657,14,5
