category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Estradiol and alike,Fenske_2020,-0.061992375424001996,-0.6340090789883641,0.51002432814036,0.8317861550788825,0.4266500063891792,3.1516833419402616e-10,19,6
Estradiol and alike,Moraes_2021,-0.10148790690908219,-0.6030387977025529,0.40006298388438855,0.691666041913328,0.1794371197502257,0.1732672324994436,28,6
Estradiol and alike,Reyhanian_2011,-0.04351036135146666,-0.586202552620905,0.49918182991797166,0.8751343826359373,0.21315374672992496,0.212049192316993,27,6
Estradiol and alike,Tamagno_2022_A,-0.10425771647557544,-0.6203723046591199,0.4118568717079689,0.6921622142646922,1.0322442585349156e-8,0.38490714867358305,19,6
Estradiol and alike,Tamagno_2022_B,0.1843656969614671,-0.21549912576629154,0.5842305196892257,0.3661647317506792,2.0921583335103267e-8,0.24178409149745486,26,6
Estradiol and alike,Wang_2015,0.0431381145460107,-0.4683883291793134,0.5546645582713348,0.8687173526986317,0.15061491754385023,0.24946363773561367,28,6
Estradiol and alike,Menegasso_2021,0.16807908689116555,-0.24083414947299156,0.5769923232553227,0.4204616015987671,5.148798566015288e-8,0.2669932236416948,27,6
