category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Anxiolytics,Baggio_2018,-0.11252279915010885,-0.6326980542315463,0.4076524559313286,0.6715849850762029,0.07113885222662152,0.07113885222662152,5,5
Anxiolytics,Barba-escobedo_2012,-0.49537755263390043,-0.8748944713146155,-0.11586063395318535,0.01051820944924279,1.2082651943003303e-9,1.2098165102907162e-9,5,5
Anxiolytics,Vecchia_2019,-0.23747608799460296,-1.022252076405275,0.5472999004160689,0.5531193971914907,0.28333629201833704,0.2833362921593118,5,5
Anxiolytics,Gusso_2021,-0.22080260794352577,-1.040267124086958,0.5986619081999066,0.5974248930405887,0.2988842891173781,0.2988842893850935,5,5
Anxiolytics,Joseph_2021,-0.30859646974851324,-1.1006735133458214,0.483480573848795,0.44509967678739953,0.28997129853895137,0.28997129853895137,5,5
Anxiolytics,Adel_2024,-0.3483834034472162,-1.1346721263424056,0.4379053194479732,0.38517136049608097,0.27890121876090396,0.27890121885056396,5,5
