category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Valproic acid,Bailey_2016,-0.6807649233046289,-1.447544450713203,0.08601460410394524,0.08184107654190834,0.3346065879732943,0.3346065879732943,6,6
Valproic acid,Baronio_2018,-0.46715852836755045,-1.078658709298732,0.14434165256363107,0.1343089756063672,0.202771456735911,0.20277145671384655,8,6
Valproic acid,Chele_2024,-0.7387118789613408,-1.4100761125413144,-0.06734764538136728,0.031038636713638247,0.24672969904817083,0.24672967003227603,8,6
Valproic acid,Flores_Prieto_2024,-0.6181278789652366,-1.355541863596854,0.11928610566638076,0.10040055359348578,0.32180183298568604,0.32180183298146336,8,6
Valproic acid,Joseph_2021,-0.36428652885771917,-0.8158783110907342,0.08730525337529582,0.113866965593472,0.07598228694817026,0.07598228689923855,8,6
Valproic acid,Liu_2021,-0.7590480466407062,-1.3799620887030757,-0.1381340045783368,0.01657532416277998,0.19411851907842698,0.19411851896583707,8,6
Valproic acid,Zimmermann_2015,-0.5905638342433265,-1.3455980511045835,0.16447038261793046,0.1252705060321556,0.32939181941896145,0.32939181850128785,8,6
