term,type,estimate,std.error,statistic,p.value,conf.low,conf.high
intercept,summary,-0.19388587094258636,0.21557602528744665,-0.899385127284266,0.3861397854788684,-0.663585680607542,0.27581393872236926
concentration,summary,-0.799055255794145,0.2638835093190285,-3.0280605933131937,0.010504379812950798,-1.3740080314360559,-0.2241024801522341
