category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
NMDA antagonists,Riehl_2011,-2.1056559275468554,-3.3943714471221513,-0.8169404079715594,0.0013627762226142044,3.064765015122775,1.1216670051403849e-9,20,8
NMDA antagonists,Benvenutti_2021,-2.0797135589153464,-3.3977527391980313,-0.7616743786326614,0.0019841355124958246,3.220836281933351,4.932119027061005e-10,19,8
NMDA antagonists,Giongo_2023,-2.029415628510784,-3.3743747454045563,-0.684456511617012,0.0031024577534103513,3.3768363257610847,6.851833895816847e-10,21,8
NMDA antagonists,Perdikaris_2022,-1.9216555992486486,-3.273008558599683,-0.5703026398976143,0.005317964424572351,3.4116237293645413,7.874807322906684e-10,21,8
NMDA antagonists,Perdikaris_2023_A,-1.9569138624094413,-3.319080997142718,-0.5947467276761642,0.004866812403408328,3.4583475889003052,1.0725098146159154e-9,21,8
NMDA antagonists,Perdikaris_2023_B,-1.5154521005806982,-2.4177306616148724,-0.6131735395465242,9.950485545645212e-4,1.5021974188610687,9.4673536121251e-10,21,8
NMDA antagonists,Seibt_2011,-1.2450025560809919,-1.7886050677013907,-0.7014000444605931,7.160249077118327e-6,0.42992377352010935,6.107789901574861e-10,21,8
NMDA antagonists,Sison_2011,-2.1182005901685153,-3.393821276474516,-0.8425799038625146,0.001135641531426141,2.9862097726889685,4.911940275734262e-10,13,8
NMDA antagonists,Zimmermann_2016,-2.0633449618107718,-3.398565402853025,-0.7281245207685181,0.0024554777548277517,3.2465468909171493,0.06136175925419193,19,8
