category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Anxiolytics,Baggio_2018,-0.11252279916735788,-0.8426241110920847,0.617578512757369,0.6907531939672718,0.07113885219834791,0.07113885219834791,5,5
Anxiolytics,Barba-escobedo_2012,-0.49537755263391453,-1.0094053785333825,0.018650273265553408,0.055475534510987544,1.2090913441056452e-9,1.2090913441056452e-9,5,5
Anxiolytics,Vecchia_2019,-0.23747608798437864,-1.346985670155623,0.8720334941868657,0.5843174403653133,0.28333629881807065,0.28333628573549396,5,5
Anxiolytics,Gusso_2021,-0.2208026079435126,-1.3810106683228185,0.9394054524357933,0.6251842069784814,0.2988842889886332,0.2988842895165035,5,5
Anxiolytics,Joseph_2021,-0.3085964697571856,-1.4284844906845904,0.8112915511702193,0.4868715948677219,0.2899712984407008,0.28997129825790835,5,5
Anxiolytics,Adel_2024,-0.34838340344515273,-1.4599783088905782,0.7632115020002728,0.43331593247884603,0.2789012188411884,0.2789012188411884,5,5
