category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Valproic acid,Bailey_2016,-0.6807649233181428,-1.684858520645488,0.3233286740092025,0.14182721852799576,0.3346065880496129,0.3346065880496129,6,6
Valproic acid,Baronio_2018,-0.46715852836975263,-1.266636975936903,0.3323199191973976,0.19338988560959128,0.20277145669170665,0.20277145677826058,8,6
Valproic acid,Chele_2024,-0.7387118789563106,-1.615843815377326,0.13842005746470465,0.08267174786900236,0.24672969441382353,0.24672967463430312,8,6
Valproic acid,Flores_Prieto_2024,-0.6181278789677094,-1.5828350795978992,0.3465793216624805,0.16045894682378609,0.32180183299725135,0.3218018329930286,8,6
Valproic acid,Joseph_2021,-0.36428652885564866,-0.9500255357995748,0.22145247808827745,0.17077822442119875,0.07598228694378824,0.0759822868896279,8,6
Valproic acid,Liu_2021,-0.7590480466506908,-1.569085047236352,0.05098895393497049,0.06095639029283789,0.1941185192623126,0.19411851883566114,8,6
Valproic acid,Zimmermann_2015,-0.590563834231549,-1.5785021244511805,0.3973744559880825,0.18498714958989287,0.3293918186539939,0.3293918191594708,8,6
