category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Pro-dopaminergic agents,Benvenutti_2021,-0.649402122813615,-1.2045720546926897,-0.09423219093454027,0.03144382007745105,0.027290439402109824,0.02729043843304421,12,5
Pro-dopaminergic agents,Canzian_2024,-0.49005056765751925,-1.0616192605338761,0.08151812521883756,0.07595095322822719,0.03413636373806165,0.034136363232148664,11,5
Pro-dopaminergic agents,Yin_2023,-0.586309836433662,-1.2007784137038944,0.02815874083657033,0.05702874233820385,0.05329052844238549,0.05329053345836895,12,5
Pro-dopaminergic agents,Freddo_2021,-0.4638073253523724,-0.9337013538569706,0.006086703152225814,0.051879838929931234,0.006789580421434494,0.006789580559531334,14,5
Pro-dopaminergic agents,Frizzo_2020,-0.5252337597128615,-1.1411036144974527,0.09063609507172987,0.0770017326890352,0.051057664469637484,0.05105766359896765,12,5
Pro-dopaminergic agents,Nardi_2024,-0.663425479731717,-1.134728869248817,-0.19212209021461685,0.017419781237222733,0.005688601604440622,0.005688601607899064,14,5
