category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
NMDA antagonists,Riehl_2011,-2.1056559275226965,-3.6576190348820834,-0.5536928201633093,0.014894217389628829,3.064765014774766,1.1215878279261874e-9,20,8
NMDA antagonists,Benvenutti_2021,-2.079713558913172,-3.667165925187512,-0.49226119263883183,0.017373797740191155,3.220836281900122,4.932274264307519e-10,19,8
NMDA antagonists,Giongo_2023,-2.0294156285110065,-3.649429816268565,-0.4094014407534481,0.02103927721418102,3.376836325768866,6.647548280727127e-10,21,8
NMDA antagonists,Perdikaris_2022,-1.9216555991976993,-3.549407071224553,-0.2939041271708456,0.026847377585410153,3.411623728549254,7.874333421680023e-10,21,8
NMDA antagonists,Perdikaris_2023_A,-1.9569138624399536,-3.597774538364689,-0.31605318651521785,0.025770138799984885,3.4583475893928344,1.0959016415189956e-9,21,8
NMDA antagonists,Perdikaris_2023_B,-1.5154521005760186,-2.6030236664123287,-0.42788053473970855,0.01321251845146822,1.502197418798493,9.467491449045881e-10,21,8
NMDA antagonists,Seibt_2011,-1.2450025560759588,-1.8961049406017252,-0.5939001715501925,0.0027272392412290088,0.4299237735018799,6.047004063194864e-10,21,8
NMDA antagonists,Sison_2011,-2.1182005902085908,-3.6543507010415315,-0.5820504793756498,0.013853189041105872,2.986209773260435,4.912563389786358e-10,13,8
NMDA antagonists,Zimmermann_2016,-2.0633449617800608,-3.671601124859396,-0.4550887987007255,0.019013939986276904,3.2465468904234593,0.06136175927415001,19,8
