category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Estradiol and alike,Fenske_2020,-0.06199237543111098,-0.8114182170244951,0.6874334661622731,0.8400065286378706,0.4266500064880904,3.151709017371039e-10,19,6
Estradiol and alike,Moraes_2021,-0.10148790734853087,-0.7560787716220944,0.5531029569250326,0.7066795025142626,0.1794371209790006,0.1732672308434422,28,6
Estradiol and alike,Reyhanian_2011,-0.043510361432358306,-0.752058355123841,0.6650376322591244,0.8807490374325293,0.21315374707462725,0.21204919201185118,27,6
Estradiol and alike,Tamagno_2022_A,-0.10425771646602659,-0.7301149976203068,0.5215995646882537,0.6863118882107568,1.0322398223711848e-8,0.38490714839022255,19,6
Estradiol and alike,Tamagno_2022_B,0.1843656969731165,-0.32199089658886143,0.6907222905350945,0.39226305582351506,2.119656566534818e-8,0.24178409053551675,26,6
Estradiol and alike,Wang_2015,0.0431381147840649,-0.6245253164599037,0.7108015460280336,0.87459579910619,0.15061491645741518,0.2494636388186326,28,6
Estradiol and alike,Menegasso_2021,0.16807908700004337,-0.35507216384708895,0.6912303378471757,0.4464741582395364,5.147228525424924e-8,0.26699322086993243,27,6
