term,type,estimate,std.error,statistic,p.value,conf.low,conf.high
intercept,summary,-0.19388587094295653,0.21557602528731465,-0.8993851272865339,0.38613978547770866,-0.6635856806076246,0.27581393872171145
concentration,summary,-0.7990552557926179,0.2638835093187231,-3.0280605933109106,0.010504379812995363,-1.3740080314338634,-0.22410248015137235
