category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Ethanol,Ariyasiri_2021,-0.2239555346232843,-1.8719400624684028,1.4240289932218344,0.7508017531683241,1.111157009910061,1.790269355500833,12,7
Ethanol,Buske_2011,-0.7767865571468859,-3.014206081207051,1.4606329669132792,0.4281821038825303,3.652095839951202,1.746786159428705,11,7
Ethanol,Fontana_2018,-0.7642772861548274,-2.9962199170217896,1.467665344712135,0.43419482735196174,3.6464371454118605,1.74625829493217,12,7
Ethanol,Kurta_2010,-0.8655780983939505,-3.009884515655615,1.278728318867714,0.36142774925413285,3.1231303935648307,1.8179778248381313,9,7
Ethanol,Maaswinkel_2013_B,-0.5953679142668044,-2.9124582997069925,1.7217224711733836,0.5526961569639166,2.811928184527849,2.8119280191817384,11,7
Ethanol,Müller_2017,-0.9082748396639291,-2.9266013954436536,1.1100517161157955,0.3130360017408718,2.4451770285100243,1.9479362966987643,12,7
Ethanol,Parker_2014,-0.14586699155811192,-1.4778947049953433,1.1861607218791195,0.7977075949591871,0.4892355991628704,1.4820576988393646,12,7
Ethanol,Stefanello_2021,-0.9065637214847195,-2.882235516452978,1.0691080734835385,0.3044327876353345,2.253334102878206,1.99976843036567,12,7
