category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
NMDA antagonists,Riehl_2011,-1.7351628608482472,-4.268143621984892,0.7978179002883983,0.12994734980313322,1.8663033378547216,1.8663015014197635,7,5
NMDA antagonists,Franscescon_2021,-2.2675717395025545,-5.7360503689506945,1.2009068899455855,0.14368553233082026,3.334729784213723,3.334730221119484,8,5
NMDA antagonists,Maaswinkel_2013_A,-2.396189500578166,-5.913925137456895,1.1215461363005623,0.13156179719837247,3.386229532688584,3.386229532688584,6,5
NMDA antagonists,Maaswinkel_2013_C,-1.2995726822336124,-3.1832799729798613,0.5841346085126364,0.12793655319471742,0.8100504460090704,0.810050446826734,8,5
NMDA antagonists,Mccutcheon_2016,-2.72741670696102,-5.539064407619217,0.08423099369717768,0.05447304774521552,2.0604150553909495,2.060416476549674,8,5
NMDA antagonists,Kyzar_2012,-2.6471207063428617,-5.75358070724045,0.45933929455472633,0.0771645796614382,2.623925907293661,2.6239287098768496,8,5
