category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Anxiolytics,Li_2022,-0.31713989739224907,-0.7571536616963932,0.12287386691189511,0.12311323387587728,0.010753700028851943,7.951738230109115e-10,12,6
Anxiolytics,Zhang_2023,-0.30050303718271043,-0.7298474182249381,0.1288413438595173,0.1318968203350176,0.0073314488419314195,1.1784892379689704e-9,13,6
Anxiolytics,Maaswinkel_2013_B,-0.42254701660141397,-0.7803308986862542,-0.06476313451657378,0.02888623406681686,1.9025835589838113e-11,7.707519444758584e-10,12,6
Anxiolytics,Johnson_2023,-0.23196670051528295,-0.7306933045856012,0.26675990355503537,0.28544981114235973,0.022674644258327874,2.580054002983441e-9,11,6
Anxiolytics,Chen_2021,-0.26132416888162163,-0.7146407291639358,0.19199239140069257,0.19847038018944457,0.01567952362645685,1.104405517623877e-9,10,6
Anxiolytics,Rosa_2020,-0.20382257745084714,-0.5938741428678699,0.1862289879661756,0.23692956258170306,1.025132241666962e-9,2.501997023261263e-10,13,6
Anxiolytics,Adel_2024,-0.2001583245067958,-0.6025461050387794,0.20222945602518774,0.2571440323015183,1.5326830058078024e-9,2.758844496817459e-10,13,6
