category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Pro-dopaminergic agents,Benvenutti_2021,-0.17348922939975384,-0.7287602003702275,0.38178174157071976,0.43462423282251356,0.07952710230338077,3.1326679865347978e-9,15,5
Pro-dopaminergic agents,Canzian_2024,-0.20830737378272812,-0.6791594445639519,0.2625446969984957,0.28665923317970265,0.025785453731127103,2.3546191284524397e-9,14,5
Pro-dopaminergic agents,Yin_2023,-0.14170005195351046,-0.7526599533224031,0.46925984941538224,0.5546780582934507,0.054898967127301794,0.054898964759828084,12,5
Pro-dopaminergic agents,Freddo_2021,-0.03592295925503527,-0.5301892921886942,0.45834337367862366,0.8499276097808406,0.04818605967336215,3.761524367926935e-9,17,5
Pro-dopaminergic agents,Frizzo_2020,0.022744466749122297,-0.3528934371177503,0.39838237061599485,0.8746538304162575,6.580107092584114e-10,9.012743077115613e-10,15,5
Pro-dopaminergic agents,Nardi_2024,-0.11054652371579456,-0.6748385152724774,0.4537454678408883,0.615397925323464,0.09415862558283283,3.0141388799124794e-9,17,5
