category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Estradiol and alike,Fenske_2020,-0.36855988844722803,-0.6656805105828152,-0.07143926631164094,0.026197489002718826,2.2740021517207926e-9,0.06894648966051878,17,5
Estradiol and alike,Moraes_2021,-0.2316393530781989,-0.5262160475182872,0.06293734136188942,0.09440124985295084,1.9354026697572e-9,0.05484472985774154,26,5
Estradiol and alike,Reyhanian_2011,-0.3147201664914101,-0.679834779005861,0.05039444602304077,0.07490457950312891,2.6113062855346482e-9,0.07274327574472315,25,5
Estradiol and alike,Tamagno_2022_A,-0.3042271372711513,-0.7542028956151592,0.14574862107285663,0.13372167309561647,0.047528973815556486,1.1551130660834108e-9,17,5
Estradiol and alike,Tamagno_2022_B,-0.22018219578430026,-0.5186127995885128,0.07824840801991229,0.10988202943221279,1.9119813098388814e-9,0.05690668981782525,24,5
Estradiol and alike,Wang_2015,-0.25492193437507865,-0.5792385842248058,0.06939471547464854,0.09449460029544737,2.3992611751967224e-9,0.06531492480799446,26,5
