category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Stress,Canzian_2017,1.065193282748078,0.3205603439306436,1.8098262215655123,0.005051713190590143,0.4890878463744763,0.48908736206000064,13,9
Stress,Green_2012,0.8196758832018195,0.1211036855053218,1.5182480808983172,0.02146289087632483,5.946096054122902e-9,0.9641657765576669,14,9
Stress,Rosa_2020,0.9050111187179909,0.159075435239451,1.6509468021965308,0.01740972816194903,8.536150489974653e-9,1.1348147858509532,14,9
Stress,Chakravarty_2013,0.9675904663208674,0.2003696411141055,1.7348112915276293,0.013442194535209404,9.041374636262743e-9,1.1848193373262659,14,9
Stress,Fontana_2020,1.044296952935038,0.318447920893557,1.7701459849765193,0.004804630418702626,1.2604406469184922e-8,1.0486858506443981,14,9
Stress,Fontana_2021,1.0677491762104065,0.3559124376029098,1.7795859148179032,0.003282867798963569,7.65783413668526e-9,0.9889030874841727,11,9
Stress,Wang_2024,0.7592732841052836,0.10695876617459055,1.4115878020359767,0.022528599365932777,4.406218052340348e-9,0.7831126321835777,14,9
Stress,Liu_2024,0.8397825033704088,0.13635549132995628,1.5432095154108614,0.019289300573817503,5.22389261928033e-9,0.9990178482507113,14,9
Stress,Müller_2024,0.8825906964738613,0.15230963539991194,1.6128717575478109,0.017848794732557155,7.45640242636783e-9,1.0907100309180011,14,9
Stress,Shams_2017_A,1.070200062842658,0.3765195862013778,1.7638805394839383,0.0024961836196953644,4.0621479424507314e-9,0.9506719954338824,13,9
