category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Anxiolytics,Li_2022,-0.31713989739224907,-0.6662188241502054,0.03193902936570725,0.07497180676618831,0.010753700028851943,7.951738230109115e-10,12,6
Anxiolytics,Zhang_2023,-0.30050303718271043,-0.6390600985422852,0.038054024176864265,0.08191824250972901,0.0073314488419314195,1.1784892379689704e-9,13,6
Anxiolytics,Maaswinkel_2013_B,-0.42254701660141397,-0.8184807114210697,-0.026613321781758292,0.03646481232223517,1.9025835589838113e-11,7.707519444758584e-10,12,6
Anxiolytics,Johnson_2023,-0.23196670051528295,-0.6299816577161652,0.16604825668559925,0.253335716947217,0.022674644258327874,2.580054002983441e-9,11,6
Anxiolytics,Chen_2021,-0.26132416888162163,-0.6220769923497509,0.09942865458650757,0.15567471354857196,0.01567952362645685,1.104405517623877e-9,10,6
Anxiolytics,Rosa_2020,-0.20382257745084714,-0.541001229035593,0.13335607413389866,0.2361016410211388,1.025132241666962e-9,2.501997023261263e-10,13,6
Anxiolytics,Adel_2024,-0.2001583245067958,-0.5453101700905028,0.14499352107691113,0.2557012753537594,1.5326830058078024e-9,2.758844496817459e-10,13,6
