category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
NMDA antagonists,Riehl_2011,-1.7351628608482472,-3.523776378363057,0.05345065666656246,0.05725059285860915,1.8663033378547216,1.8663015014197635,7,5
NMDA antagonists,Franscescon_2021,-2.2675717395025545,-4.733648955258466,0.19850547625335668,0.07151429015420918,3.334729784213723,3.334730221119484,8,5
NMDA antagonists,Maaswinkel_2013_A,-2.396189500578166,-4.896278285753523,0.10389928459719044,0.06031124791387315,3.386229532688584,3.386229532688584,6,5
NMDA antagonists,Maaswinkel_2013_C,-1.2995726822336124,-2.6562809634445688,0.05713559897734388,0.06046010921056196,0.8100504460090704,0.810050446826734,8,5
NMDA antagonists,Mccutcheon_2016,-2.72741670696102,-4.734038714717153,-0.7207946992048866,0.007721785007639138,2.0604150553909495,2.060416476549674,8,5
NMDA antagonists,Kyzar_2012,-2.6471207063428617,-4.85995928617889,-0.4342821265068326,0.019046580640328832,2.623925907293661,2.6239287098768496,8,5
