effect_id,study_id,exp_id,outcome_pattern,effect_direction,name_ctrl,n_ctrl,mean_ctrl,sd_ctrl,name_int,pharmacological_action,n_int,mean_int,sd_int,overall_rob
52,Scerbina_2012,Scerbina_2012_exp_001,distance_to_social_delta,indirect,Control,20,-14.4955,7.844126465,SCH-23390,D1 receptor antagonist,20,-2.8305,11.02157906,Low
53,Scerbina_2012,Scerbina_2012_exp_002,distance_to_social_delta,indirect,Control,20,-10.0765,9.724659634,SCH-23390,D1 receptor antagonist,20,-13.592,9.709007158,Low
54,Scerbina_2012,Scerbina_2012_exp_002,distance_to_social_delta,indirect,Control,20,-10.0765,9.724659634,SCH-23390,D1 receptor antagonist,20,-7.578,10.50281129,Low
55,Scerbina_2022,Scerbina_2022_exp_001,distance_to_social_delta,indirect,Control,20,-14.576,7.502008065,SCH-23390,D1 receptor antagonist,20,-10.976,9.152226232,Low
56,Scerbina_2022,Scerbina_2022_exp_001,distance_to_social_delta,indirect,Control,20,-14.576,7.502008065,SCH-23390,D1 receptor antagonist,20,-2.766,10.84940183,Low
57,Scerbina_2022,Scerbina_2022_exp_002,distance_to_social_delta,indirect,Control,20,-9.9745,9.92814182,SCH-23390,D1 receptor antagonist,20,-13.555,9.53012172,Low
58,Scerbina_2022,Scerbina_2022_exp_002,distance_to_social_delta,indirect,Control,20,-9.9745,9.92814182,SCH-23390,D1 receptor antagonist,20,-7.549,10.36864721,Low
59,Bortolotto_2015,Bortolotto_2015_exp_001,time_in_social,direct,Control,6,9.484,1.23944181,Scopolamine,Muscarinic receptor antagonist,6,7.7305,4.107794299,Low
60,Bortolotto_2015,Bortolotto_2015_exp_002,time_in_social,direct,Control,6,8.9435,1.734238738,Scopolamine,Muscarinic receptor antagonist,6,8.867,1.485615529,Low
61,Bortolotto_2015,Bortolotto_2015_exp_003,time_in_social,direct,Control,6,9.555,1.092472425,Scopolamine,Muscarinic receptor antagonist,6,8.368,3.077783862,Low
62,Bortolotto_2015,Bortolotto_2015_exp_004,time_in_social,direct,Control,6,9.1105,1.243116044,Scopolamine,Muscarinic receptor antagonist,6,9.104,1.18922727,Low
63,Seibt_2011,Seibt_2011_exp_001,time_in_social,direct,Control,11,8.606,1.842902059,Sulpiride,D2/D3 receptor antagonist,11,9.0765,1.302502207,Low
64,Lindeyer_2015,Lindeyer_2015_exp_001,time_in_social,direct,Control,25,190.1795,108.4325,Vasotocin,Vasopressin homolog in non-mammalian vertebrates,25,257.0635,203.1875,Low
65,Barba-escobedo_2012,Barba-escobedo_2012_exp_001,time_in_social,direct,Control,9,175.5865,138.7605,"WIN 55,212-2",Cannabinoid receptor agonist,7,256.0695,171.2713882,Low
66,Bortolotto_2015,Bortolotto_2015_exp_002,time_in_social,direct,Control,6,8.9435,1.734238738,ZM 241385,Adenosine A2A receptor antagonist,6,8.456,2.433568059,Low
