effect_id,category,study_id,exp_id,outcome_pattern,effect_direction,name_ctrl,n_ctrl,mean_ctrl,sd_ctrl,name_int,n_int,mean_int,sd_int,overall_rob
39,Estradiol and alike,Tamagno_2022_A,Tamagno_2022_A_exp_001,time_in_social,direct,Control,24,2.138745,4.12765966,Estradiol,24,6.03084,13.9012707,High
40,Estradiol and alike,Tamagno_2022_A,Tamagno_2022_A_exp_002,time_in_social,direct,Control,24,1.12623,2.415588805,Estradiol,24,7.53101,12.96284669,High
41,Estradiol and alike,Tamagno_2022_A,Tamagno_2022_A_exp_002,time_in_social,direct,Control,24,1.12623,2.415588805,Estradiol,24,7.28595,14.20748142,High
42,Estradiol and alike,Tamagno_2022_A,Tamagno_2022_A_exp_002,time_in_social,direct,Control,24,1.12623,2.415588805,Estradiol,24,5.22904,5.767299104,High
43,Estradiol and alike,Tamagno_2022_A,Tamagno_2022_A_exp_002,time_in_social,direct,Control,24,1.12623,2.415588805,Estradiol,24,1.635325,4.052264366,High
44,Estradiol and alike,Tamagno_2022_A,Tamagno_2022_A_exp_002,time_in_social,direct,Control,24,1.12623,2.415588805,Estradiol,24,7.572515,9.371135383,High
45,Estradiol and alike,Tamagno_2022_B,Tamagno_2022_B_exp_001,time_in_social,direct,Control,24,46.891,17.86412869,Estradiol,24,32.7595,16.28175832,Low
46,Estradiol and alike,Tamagno_2022_B,Tamagno_2022_B_exp_001,time_in_social,direct,Control,24,46.891,17.86412869,Estradiol,24,28.6905,28.15688459,Low
47,Estradiol and alike,Tamagno_2022_B,Tamagno_2022_B_exp_001,time_in_social,direct,Control,24,46.891,17.86412869,Estradiol,24,26.6385,23.65717194,Low
48,Estradiol and alike,Wang_2015,Wang_2015_exp_001,time_in_social,direct,Control,11,90.622,30.46651532,Estradiol,11,81.346,38.53420513,High
49,Estradiol and alike,Menegasso_2021,Menegasso_2021_exp_001,time_in_social,direct,Control,12,51.9395,9.545332001,Genistein,12,44.495,17.12305428,Low
50,Estradiol and alike,Menegasso_2021,Menegasso_2021_exp_001,time_in_social,direct,Control,12,51.9395,9.545332001,Genistein,12,23.124,16.51510445,Low
51,Ethanol,Araujo-Silva_2018,Araujo-Silva_2018_exp_001,time_in_social,direct,Control,15,322.0345,126.3270343,Ethanol,15,254.207,193.1456795,Low
52,Ethanol,Araujo-Silva_2018,Araujo-Silva_2018_exp_001,time_in_social,direct,Control,15,322.0345,126.3270343,Ethanol,15,263.305,196.7146336,Low
53,Ethanol,Araujo-Silva_2018,Araujo-Silva_2018_exp_002,time_in_social,direct,Control,15,498.4325,82.95543029,Ethanol,15,222.1435,212.5241516,Low
