category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
NMDA antagonists,Riehl_2011,0.5335824224289099,-0.04519217871799408,1.1123570235758138,0.07077396463744853,0.3144624654354756,0.27171863509337046,29,7
NMDA antagonists,Benvenutti_2021,0.3509772851269014,-0.437874704549271,1.1398292748030738,0.38319184726627004,0.8774817415905712,0.20751349076589418,30,7
NMDA antagonists,Mccutcheon_2016,0.30740008143169667,-0.4797769642345778,1.0945771270979712,0.44404263591465226,0.8947210558080135,0.20744056067824362,32,7
NMDA antagonists,Perdikaris_2022,0.18601271689364585,-0.6028732492403411,0.9748986830276328,0.6439786860628001,0.9865206671836693,1.6681941481470043e-9,31,7
NMDA antagonists,Perdikaris_2023_A,0.11719216967712753,-0.6124812349259529,0.8468655742802079,0.7529226233546181,0.6822870194221383,0.23595771261857545,31,7
NMDA antagonists,Perdikaris_2023_B,0.0791353399177527,-0.5800387965908043,0.7383094764263096,0.813977376477302,0.5462952132225203,0.21396022681980112,31,7
NMDA antagonists,Sison_2011,0.28911944323235095,-0.5587673775093633,1.1370062639740652,0.5039263568177592,0.9194565673723729,0.336898959512578,15,7
NMDA antagonists,Kyzar_2012,0.37820749663563213,-0.39134342647695763,1.147758419748222,0.33542002793249276,0.8287226785815435,0.20601720605560495,32,7
