category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Pro-dopaminergic agents,Benvenutti_2021,-0.1734892294016008,-0.5671471922611493,0.22016873345794766,0.38771047874249365,0.07952710231477333,3.1349906115943304e-9,15,5
Pro-dopaminergic agents,Canzian_2024,-0.20830737378262357,-0.5434607932258496,0.1268460456606025,0.22315811986794148,0.02578545373076074,2.354697944233419e-9,14,5
Pro-dopaminergic agents,Yin_2023,-0.14170005195578125,-0.5736515212049016,0.29025141729333903,0.5202508336982666,0.05489896463781826,0.05489896727226789,12,5
Pro-dopaminergic agents,Freddo_2021,-0.03592295925206605,-0.38617972225754155,0.3143338037534094,0.8406849629071557,0.04818605965919046,3.7166030450308935e-9,17,5
Pro-dopaminergic agents,Frizzo_2020,0.022744466749120302,-0.2758085663915145,0.3212974998897551,0.8813053716188527,6.58012819749235e-10,9.012781963607086e-10,15,5
Pro-dopaminergic agents,Nardi_2024,-0.11054652370963738,-0.5099133739913819,0.2888203265721072,0.5874556748627993,0.09415862553780804,3.013860050899865e-9,17,5
