category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Estradiol and alike,Fenske_2020,-0.3685598884551761,-0.6817207169138798,-0.05539905999647243,0.021072258464916442,2.2759866257841133e-9,0.06894648968574006,17,5
Estradiol and alike,Moraes_2021,-0.2316393530847206,-0.503685588965916,0.04040688279647475,0.09514679838498204,1.9355344180547484e-9,0.05484472950858999,26,5
Estradiol and alike,Reyhanian_2011,-0.3147201665026608,-0.6169540352070739,-0.01248629779824767,0.04125712035149821,2.611333052486132e-9,0.07274327586185603,25,5
Estradiol and alike,Tamagno_2022_A,-0.30422713729387046,-0.6271160175440824,0.018661742956341543,0.06479272589527542,0.04752897386292676,1.1361973528815164e-9,17,5
Estradiol and alike,Tamagno_2022_B,-0.22018219478969933,-0.5069636777775143,0.06659928819811559,0.1323751484551239,1.912340832032616e-9,0.056906685288712136,24,5
Estradiol and alike,Wang_2015,-0.25492193440509153,-0.5367245258944889,0.02688065708430587,0.07622763928638498,2.3993497787628487e-9,0.06531492538478671,26,5
