category,left_out,estimate,ci_lb,ci_ub,p_value,sigma2_between,sigma2_within,k,n_studies
Dopaminergic agonists,Benvenutti_2021,-0.17348922939975384,-0.5671471922458449,0.22016873344633722,0.3877104787313218,0.07952710230338077,3.1326679865347978e-9,15,5
Dopaminergic agonists,Canzian_2024,-0.20830737378272812,-0.5434607932263241,0.12684604566086788,0.22315811986822007,0.025785453731127103,2.3546191284524397e-9,14,5
Dopaminergic agonists,Yin_2023,-0.14170005195351046,-0.573651521181966,0.2902514172749452,0.5202508336849931,0.054898967127301794,0.054898964759828084,12,5
Dopaminergic agonists,Freddo_2021,-0.03592295925503527,-0.3861797223191346,0.3143338038090641,0.8406849629204718,0.04818605967336215,3.761524367926935e-9,17,5
Dopaminergic agonists,Frizzo_2020,0.022744466749122297,-0.2758085663915051,0.32129749988974965,0.8813053716188395,6.580107092584114e-10,9.012743077115613e-10,15,5
Dopaminergic agonists,Nardi_2024,-0.11054652371579456,-0.5099133740419641,0.28882032661037504,0.5874556748835515,0.09415862558283283,3.0141388799124794e-9,17,5
